Layer	Study	(NP80/NG80)	Batch_ID	GC Bias	Gene Length Bias	NG80	NP80	Phenotype_Processed	Platelet Score	RNA Degradation (3' Bias)	Sample Volume (mL)	Spliced Reads (%)	Total Centrifugation Force (g)	gDNA Contamination (Intron/Exon)	log(Total Reads)	rRNA Fraction
Raw	Chalasani et al.	0.00040326637458742987		0.002101026079209589	0.0015722310557030328	0.0004051019730826333	0.0009726639629750178	0.0013877264212401874	0.008368506963852607	0.003862833899908047	0.0	0.012338312056824785	0.0	0.0017504040500300189	0.28588792583183864	0.0
Raw	Chang et al.	0.0005209121284404095	0.022054130754964762	0.002111709988306787	0.0029458512865916386	7.04143187251205e-05	0.0035953894594979996	0.0	0.004727961675591641	0.0011253093260166214	0.0	0.009011595335485123	0.0	0.012236631857650115	0.09843923981231373	0.0
Raw	Chen et al.	0.030315794894440584	0.0	0.0026839312386117697	0.0008972414910360937	0.0	0.009127259556093392	0.0126117094256053	0.048037708045488015	0.0012650094374366816	0.007871532717841134	0.02769834795746462	0.0	0.0003238076824984004	0.212847424787175	0.0
Raw	Gardella et al.	0.0002897140207904769	0.029372477437574984	0.016565109080190932	0.004521982540291569	0.0006582483849236764	0.006604284117291637	0.00020874815189320106	0.006309234345627468	0.0425634900435663	0.0006215049031744746	0.053633547758085376	0.0006215049031744746	0.008251628353926788	0.14465326007589008	5.549538961169276e-05
Raw	Moore et al.	0.0025587302422745983	0.017284824675383725	0.0009444259771461683	0.014648481891438192	0.004927759524212982	0.016573024410204917	0.0	0.016441715211344854	0.018257788942633746	0.0	0.027892304843062488	0.010739316288129186	0.001946866602286157	0.22407842756409913	0.0009584727264261295
Raw	Moufarrej et al.	0.028931763814562195	0.006180049788058972	0.0034294664847237533	0.0	0.0005258974717753384	0.006424721332974004	0.00027734480807184436	0.012700527296603092	0.0	0.0	0.024328458247156903	0.0	0.005760699855564599	0.0795781186839909	0.003008616686130172
Raw	Roskams-Hieter B et al.	0.01867484754589177	0.0	0.0023801892621435616	0.0	0.0035761587233938963	0.0	0.011615055109657768	0.01544211443887522	0.01448166621066782	0.0	0.016794815810462715	0.0	0.01430489004114388	0.07168609652542401	0.0015076936758056103
Raw	Toden et al.	0.0039585800577733865	0.00531152275098179	0.004401235558337824	0.0077702789994773536	0.0	0.0015728093622031647	0.009990476160732786	0.025980053724008134	0.012466179763959806	0.0028870502772887496	0.008359405809956422	0.0028870502772887496	0.0020571135254027206	0.2797601069108355	0.0005722612021209494
Raw	Ward Z et al.	0.01398830319912292		0.0017472626739087893	0.0005014722718796882	0.0072543097083394015	0.0015856801182576596	0.0017891003187259225	0.0013267638907165091	0.0034118684436832414	0.0	0.04715453786073698	0.0	0.028585637234227357	0.2259817945230509	0.000585338473797159
TPM	Chalasani et al.	0.00251844647026489		0.006105026096573152	0.008851115497739426	0.004985056573666546	0.008581316106195946	0.010990414159086082	0.059381275832900204	0.011279776140191267	0.0	0.04615937883354204	0.0	0.006192254502279004	0.0030379965572310264	0.0041754077636008136
TPM	Chang et al.	0.0	0.023988938233767798	0.009057611115565911	0.0020536924070734264	0.005265840371248998	0.01487098572621659	0.0	0.015074088943567321	0.0038370242173393354	0.0013696891904720898	0.00965910351539312	0.0	0.003581526353937492	0.0029698429015391214	0.0
TPM	Chen et al.	0.03279593699557404	0.0053818360729342984	0.04265954236454794	0.0006436542080279217	0.003521146264083841	0.012079267073222488	0.012306225120687575	0.0192313641946672	0.03158716924334204	0.0025291820688078115	0.037070190194988584	0.0	0.0052679716608136085	0.02849092276521814	0.005830210603662289
TPM	Gardella et al.	0.00020239508976671594	0.04107409852672994	0.02640239548883616	0.010386698511328118	0.006816604240785007	0.02961467915740168	0.0019943253158261065	0.009359947627070375	0.03516956571883578	0.0	0.0695523043448586	0.0	0.012541754860877719	0.005960068933253071	0.0012503464546713694
TPM	Moore et al.	0.0032827996676680904	0.02246306041775159	0.001661545561377764	0.018209618003658168	0.02062721244884913	0.04220796457620146	0.0	0.025145898450216864	0.05638274224957551	0.0	0.07813568524344161	0.0028964620037699174	0.008491489204768499	0.0045265763040613916	0.0065185800101751346
TPM	Moufarrej et al.	0.023848237682562945	0.007587924815640856	0.007129466994310385	0.0010544534666722116	0.0010832193174531435	0.01735143478586576	0.0022521881862621607	0.014457721581583649	0.005844124088221769	0.0	0.027716955999750326	0.001291940855123963	0.006735896104687611	0.012885844014529413	0.010470950931290801
TPM	Roskams-Hieter B et al.	0.009843122695513573	0.0	0.009253693195483526	0.0	0.0	0.00716893846270672	0.018627787033762333	0.016803298647242282	0.0346078049195957	0.0	0.030542916530456488	0.0	0.01386452408729033	0.009835433487209944	0.000608743273773138
TPM	Toden et al.	3.5079587436648296e-05	0.00266422442289016	0.005737378581286978	0.009480100985108209	0.013381082876492534	0.02238982968698966	0.008628124319167485	0.06188972163382789	0.008204997427719962	0.0	0.005489368946240414	0.0	0.010629152864374714	0.0008422449109783958	0.0
TPM	Ward Z et al.	0.01840932865846434		0.005663450069697928	0.0006932125573517744	0.0038514533694684605	0.006720646902558913	0.004438640030787533	0.00937598115379401	0.004378372549552645	0.0	0.01525250201042827	0.0	0.0044133495684991475	0.003196687685435795	0.0034850618188516647
log2(TPM)	Chalasani et al.	0.001465728081712303		0.0025739866859242344	0.0040431796582105495	0.002424128575174378	0.003069231807374062	0.004943096662304081	0.01239186198814557	0.0034057151932249674	0.0	0.012991759522474	0.0	0.005489482763699094	0.004513667763877516	0.0012498776693310454
log2(TPM)	Chang et al.	8.097975465759522e-05	0.014213439569811248	0.00623637146839251	0.004296203235312546	0.001616293334927743	0.006929241983313461	0.002186923270289687	0.008561471620423866	0.0025650498906307773	0.0003663287831802142	0.0020455473459973783	0.0003695024361801691	0.0019184875288349446	0.007321580733314015	0.002968131221719794
log2(TPM)	Chen et al.	0.0010403228470832193	0.0	0.007647271759934626	0.008046258667073203	0.007354202536517085	0.02686343651236711	0.0	0.021672009462865405	0.004072230513484487	0.00253291481779383	0.007882006882564352	0.0	0.012523487363092722	0.0030209632205013826	0.00791940871777963
log2(TPM)	Gardella et al.	0.00029558805815521616	0.011934079674504883	0.00941938763162542	0.008251882512445352	0.002422892691853251	0.01017674181358541	0.0005723295183491794	0.011081302433537998	0.010197035768194529	0.0	0.007980458903356524	0.0	0.0039675461929657985	0.0018340515613497477	0.003072402519713857
log2(TPM)	Moore et al.	0.0	0.004841755024784455	0.0026122703587542206	0.0074264301060795734	0.00041003134020067833	0.0052787372432523405	0.0014731209749966334	0.009480061500886983	0.002444965162571533	0.0	0.00217476832130592	0.0004712833541394845	0.0025193770221104694	0.0011772079815298708	0.00222535711341576
log2(TPM)	Moufarrej et al.	0.0006779177665036107	0.0004032128685502734	0.0047763465590657805	0.0026650122142856114	0.002935541080452131	0.014075945304176218	0.0	0.005345396302450567	0.003861539542961756	0.0	0.002739383077303259	0.0	0.0026660384999431797	0.002227632864920559	0.0019896422623243426
log2(TPM)	Roskams-Hieter B et al.	0.0	0.0011700697098634416	0.006552378557035166	0.0	0.0013074648410176248	0.008580015007427666	0.011859414740190588	0.012612859192136061	0.004165744998878451	0.0016543639513866282	0.003709603115233273	0.0016543639513866282	0.002630393944090814	0.0019313918745040848	0.004859724235040441
log2(TPM)	Toden et al.	0.0006368648609842431	0.0003488081136754362	0.006537230735660926	0.00995234993738614	0.0011010747152930822	0.007137625880053844	0.001999060385515561	0.01681406412710129	0.010784562219648408	0.0	0.009379353418034309	0.0	0.0071276819647377865	0.0036117230636562025	0.0008117305214169201
log2(TPM)	Ward Z et al.	0.003425259043673523		0.007930209653617681	0.006773491866953973	0.00844971917549353	0.013420067990230655	0.009858575743804665	0.014687724381127087	0.006086066843406623	0.0	0.0072866275520385715	0.0	0.006043669517958539	0.009231586855002027	0.01189655785636734
log1p(CPM)	Chalasani et al.	0.0014547517548230138		0.002745203920211603	0.003914255632780805	0.002376239508602662	0.0027624224266947772	0.004986366602909631	0.010220701758516082	0.003083552237644782	0.0	0.012464854827206495	0.0	0.005902997781612851	0.0046483016775052954	0.0011915276491751836
log1p(CPM)	Chang et al.	0.00017943244373241907	0.014427028511630802	0.00632763293071259	0.004199452239005641	0.0017906525791171468	0.008702741790753699	0.0021325698364582646	0.00864150480103354	0.002711747988987767	0.00032530958870624627	0.0021347161458156183	0.000269149394565793	0.0019224536824850036	0.007492448453198963	0.0032076179840778707
log1p(CPM)	Chen et al.	0.001031043090449546	0.0	0.009747857160203988	0.012779789621907955	0.007596167470354187	0.02548310917992247	0.0	0.023564935202590065	0.007144422493948865	0.0028649509841470744	0.006734844225435355	0.0	0.013132963303337575	0.008220803265578613	0.008353744899588511
log1p(CPM)	Gardella et al.	0.0002139984160540731	0.012133544353202352	0.00828045863812299	0.008282517271322898	0.0017506326298192265	0.013137609469084266	0.0007038442961250224	0.011844726926329319	0.009801033991882813	0.0	0.0037507202684812224	0.0	0.0045286384491984855	0.0018661890783646662	0.0021735225831374105
log1p(CPM)	Moore et al.	0.0	0.005185166838938882	0.0029887888219546355	0.009328796686388197	0.0002674031385947462	0.004077207861422627	0.0015371221537016089	0.010035543239477418	0.0026547384596711243	0.0	0.0017592509269568346	0.0004665922307455217	0.00325213359317289	0.0014744092966648692	0.0021575997212190945
log1p(CPM)	Moufarrej et al.	0.000824044832262838	0.0003509780837578358	0.005251857289238604	0.005079730986915387	0.0038233853712955623	0.012857371785759852	0.0	0.005276740799868507	0.0034377727675434233	0.0	0.0016917884676316275	0.0	0.003015215085838685	0.0019198052789934916	0.0020488170079361323
log1p(CPM)	Roskams-Hieter B et al.	0.0	0.0013127349867925187	0.00835203459727607	0.0005789319777963486	0.001767699553029245	0.008202429595971394	0.012859376023097058	0.010948618073075012	0.003961518297215805	0.0025856339566073805	0.0031353459557911245	0.0025856339566073805	0.003986146432599202	0.002181197128921508	0.004789512599161716
log1p(CPM)	Toden et al.	0.0006005569663110055	0.00036132428925406135	0.0066656457808672576	0.00987278856197793	0.0013026239042985832	0.007869829932648731	0.00207432963098908	0.01656308196791989	0.01024053666043645	0.0	0.008453871260083345	0.0	0.0064837795855513525	0.0037453912385024823	0.0004228012830992389
log1p(CPM)	Ward Z et al.	0.005031575712371672		0.00955275374047948	0.008945303384259584	0.01092533570052856	0.015488566394292858	0.01197314037011421	0.014668751019793813	0.006390676721653166	0.0	0.006816258777460504	0.0	0.00875987356572483	0.011417273690661145	0.011399636381421052
log2(FPKM)	Chalasani et al.	0.00150908356450985		0.0024159100191051275	0.004538538392084623	0.002368459373157439	0.0026899032516616295	0.004967566223132769	0.007093262634273345	0.0031588759383680554	0.0	0.009178949124325264	0.0	0.006830946043083208	0.006022565192107088	0.0010636342912883068
log2(FPKM)	Chang et al.	0.0002553006347542075	0.014117329207635088	0.005776156376496089	0.0036839755670960983	0.0017725789834222017	0.008679759056754888	0.001946262637486651	0.007306751288249869	0.0023831668615250656	0.00026719367971728136	0.0022714561730143856	0.0003409491561278122	0.0017619274071346558	0.00860548869269473	0.0034300137488147975
log2(FPKM)	Chen et al.	0.0006066400063563515	0.0	0.007285324476692168	0.030311277198520337	0.006705390837371317	0.019614242362666845	0.0	0.018839414522370923	0.007301962486644165	0.0036990934902488837	0.004919720982703102	0.0	0.01202603931274493	0.010219789941793733	0.008625390381916676
log2(FPKM)	Gardella et al.	0.000312835892972374	0.010236434073318201	0.005457704860579504	0.007213709105655108	0.0012375442566519013	0.01066779339727042	0.0006489601031143266	0.008231778053697902	0.006848221539165089	0.0	0.002388511589038189	0.0	0.0042924820606928815	0.0019064303797600157	0.0018444146119508398
log2(FPKM)	Moore et al.	0.0	0.004267576496264858	0.003337295002145524	0.011557581765726854	0.00012530791976750333	0.0035268675933320948	0.0013122719142467654	0.007414402116857288	0.00201616809013927	0.0	0.0013859294292293267	0.0004836285749727498	0.0039517387827084915	0.0021022291998991083	0.0019034190556345143
