,ENSG00000158292.8,ENSG00000100276.11,ENSG00000179761.13,ENSG00000196826.7,ENSG00000250021.7,ENSG00000127325.20,ENSG00000105976.17,ENSG00000187079.20,ENSG00000213088.15,ENSG00000203811.2,ENSG00000269955.2,ENSG00000136488.15,ENSG00000259753.1,ENSG00000129824.16,ENSG00000203852.4,ENSG00000288643.1,ENSG00000154153.15,ENSG00000165948.12,ENSG00000156239.13,ENSG00000188130.15,ENSG00000188811.14,ENSG00000197483.11,ENSG00000185829.19,ENSG00000072694.23,ENSG00000187116.15,ENSG00000133687.17,ENSG00000180537.14,ENSG00000071553.19,ENSG00000288859.2,ENSG00000270276.3,ENSG00000197238.5,ENSG00000278637.3,ENSG00000049759.21,ENSG00000151876.14,ENSG00000171067.12,ENSG00000100865.15,ENSG00000130958.14,ENSG00000124767.8,ENSG00000221978.14,ENSG00000118197.15,ENSG00000182093.16,ENSG00000138798.14,ENSG00000104067.18,ENSG00000139132.16,ENSG00000143149.14,ENSG00000117859.20,ENSG00000108587.17,ENSG00000157538.15,ENSG00000177885.16,ENSG00000073584.21,ENSG00000163681.18,ENSG00000153071.16
SRR14506843,0.7585145,-0.8718492,0.9900806,-0.952712,0.16103998,-0.06653717,0.9618163,1.3395566,0.5967732,1.1964313,-1.2924342,-0.66840297,1.3154726,1.148423,-1.2354652,-0.9108459,0.7983343,-1.4439832,0.7990299,0.94782615,0.32965055,-0.29432586,-0.19305792,0.82318527,-0.022919612,0.787607,1.043338,0.14907724,-0.7991539,0.86304426,-0.32487485,1.2301817,0.016097663,0.11170411,0.046367347,0.19415899,0.13098711,0.09104226,0.27245572,0.6000618,-0.53874326,-0.42422178,0.7766941,-0.14911947,0.69800586,0.23503615,-0.2270838,-0.3671041,0.07045288,0.1686829,-0.29079232,-0.38593003
SRR14506844,0.34120834,-0.745362,0.9779479,-0.7957856,0.18848625,-1.1750369,0.48675042,0.7218164,0.8247937,1.1627553,0.36016932,-0.44155675,1.0527798,0.6353735,-1.2949623,-0.6630466,-0.47871843,-1.3205723,0.3982922,0.122999825,0.7645093,0.12295287,1.2000983,0.24129753,0.8509349,-0.087489806,-0.037428588,0.26771048,-0.6083995,-0.94641125,0.21458584,0.5212992,0.4472172,0.2614484,-0.10653185,0.12886819,-0.14556834,0.15775357,-0.609059,0.21781734,-1.7565914,-0.8637397,-0.033173557,0.40172425,-0.059689637,0.644059,-0.46337646,0.52467704,0.41117695,0.48442602,-0.40832242,-0.085289925
SRR14506845,-0.7127911,-0.23390932,0.97636604,-0.23820215,1.0847878,-0.7280518,1.35635,1.1467832,-1.0437087,-0.77537423,-0.63761616,-0.41336036,1.8722589,-0.69788873,0.6666187,-0.18954755,-1.0790299,-0.7086245,-0.9243384,1.0614996,-1.3445269,-1.1657015,0.022473842,-1.3039337,-0.4930686,0.7303997,0.577363,0.2581805,-1.7103722,0.18685001,1.1187361,0.97956836,0.76935905,-2.2255468,0.4961675,-0.97311515,3.0027282,1.281113,-0.4804315,-0.7393413,0.75129056,0.28083828,-0.8335679,-0.03208455,-0.23458347,0.6062484,0.17133316,2.3141541,0.8420738,1.9285723,0.99735266,-0.37802586
SRR14506849,0.9792565,0.75516135,0.42015368,-0.46160182,0.41459528,1.7171364,0.7673397,0.76902103,0.7981075,1.7522396,-1.0259529,-0.15411186,-0.7894394,-1.0994333,-1.0648354,-0.26962093,0.3733055,0.8443375,0.98395646,0.48851657,0.6674481,-1.1813215,-0.051492635,0.42038497,-0.49871242,-0.19420537,1.9368932,0.059598934,-0.47074652,-2.1954591,-0.10359721,-0.23062329,0.33413064,0.22846921,-0.32607093,0.25654665,-0.72062546,0.06359975,-0.20222302,-1.8108153,-0.49027255,0.034213133,-0.14206594,-0.49806446,-0.5642785,0.5463263,-0.28826407,0.3843061,-0.1774285,0.4584023,-0.53239363,-0.03561989
SRR14506850,-2.327796,-2.1326773,1.207401,-2.1658645,1.6234173,-2.373148,1.4096861,-0.47279736,0.92612916,0.824751,-2.2837029,-2.1113951,-2.2091184,-2.3571506,-2.2190075,-2.077682,0.03325018,-2.356826,0.9009618,0.59383035,-0.23695281,0.27058643,0.60814023,0.8634091,0.15231347,1.2276187,1.439829,-1.6116041,-2.902389,-2.9081533,-2.5524168,1.1929907,1.1898727,0.40144882,-0.012167052,1.1015425,-0.18419772,0.11114269,-1.043388,-0.4711733,0.82230175,0.2128634,1.6895318,0.61569655,0.22733732,-0.26892683,-0.08102988,0.3275468,0.11952073,0.5992272,0.3461621,-0.3429171
SRR14506851,-0.11810661,0.47855726,-0.14672434,0.5669994,-0.3854522,0.28640622,-0.6872789,0.5764359,-0.60360503,-0.27278522,-0.1125887,0.066443205,1.3761637,1.3026102,0.121304356,0.52145076,-0.51307565,0.36710897,-0.306608,-0.6484292,1.2453853,0.18251134,-1.049714,-0.8803863,-0.04975499,0.36339602,0.8198139,0.8323097,-1.117567,1.6247427,-0.093632676,0.7366046,-0.37936914,1.934749,-1.1699667,-1.2577454,1.4662101,-1.8592178,0.5513293,0.4786697,0.28619102,0.9015123,0.018848555,0.37579218,-1.1065524,-1.1932604,-1.5405989,-1.8895103,-1.4644842,1.4475021,1.6902543,-0.0777653
SRR14506852,0.011262646,1.6954112,-0.08094203,1.2143762,-0.8536257,0.04959765,0.6059436,0.2821924,1.151191,1.1781638,-0.52215016,1.219869,-0.15551363,-0.5679526,-0.5264203,0.43302557,0.55152035,0.96021914,1.6917965,0.45228833,0.50415546,0.59547776,0.18681847,0.06536865,1.2200494,0.46986637,0.32457188,-0.048660714,0.24307066,0.7385705,0.5309518,-0.3744726,0.79509443,-0.3647269,0.5861405,-0.68633926,-0.32548976,-0.72707534,-0.35696185,0.6990098,0.25527868,-0.4830651,0.70208335,-0.27476338,0.45582917,0.23419063,-0.124746084,-0.5975571,-0.17595105,0.32980147,-0.5606374,0.16528188
SRR14506853,0.5567916,1.02444,-1.691081,1.1479803,-1.7551216,2.7516928,-0.109956905,0.10375169,1.0555321,0.6842674,-1.5443764,-1.2410659,-1.4146737,-0.044583794,-1.5448755,-1.204569,0.017229337,-1.334435,0.43567234,0.19168085,-0.73184896,0.83049417,-0.48131767,-0.43725365,0.5692208,-0.32094437,0.5728838,-0.33460343,1.1718352,2.1674232,0.5280064,1.0614736,0.0126007525,-0.08255196,0.4902972,-0.04188853,-0.33117718,-0.2743153,-1.5071054,-0.6487565,0.65477854,0.16205698,-1.0107632,-0.9571558,-0.12143187,-0.6754763,-0.66844976,0.25354174,-1.558927,-0.46644858,-1.08272,-0.13927895
SRR14506855,0.6583508,-0.17841938,-0.7640178,-0.28475448,-0.8681096,0.44261196,-0.09788291,1.0376667,0.7912711,0.817851,-0.61722356,2.750313,-0.39512286,0.8457498,-0.4639795,0.0025673667,-0.084283024,-0.6781959,1.2922477,1.9255332,-0.38482854,0.31255928,0.41137084,-0.40770823,-0.47138703,0.3685855,-0.32779735,1.7796347,-1.7599164,0.39934167,-1.1227403,0.8820431,1.1306696,-0.8637245,0.37659794,1.1479553,0.79080474,0.52352357,-0.44833642,-0.15411033,-0.5908081,-0.6464967,1.3882116,-0.57147616,0.041722357,-0.19338307,-0.4149072,-0.35543174,0.39433238,0.15599357,0.24316357,0.029593367
SRR14506856,-1.7236648,-1.4102947,-1.7730097,-1.4132558,-1.9260793,0.9599466,0.3994329,0.12516743,0.6633582,-1.7558239,-1.7577584,-1.3383014,0.97230136,-1.774686,0.8435299,-1.4552283,0.6798764,-1.6388905,0.67459744,-0.22608055,-0.11167562,0.20573321,0.24787574,0.42564,0.83832014,0.9438326,-0.26530305,-0.10779831,-2.5655458,-2.6546793,-2.2266428,-0.014372043,0.31043744,-1.5502764,-0.45785838,-1.3531111,-0.81952584,0.88742095,-0.8397333,0.5306601,0.93679005,-0.5144368,-0.33632955,-0.6067236,-0.48957086,-0.28585663,0.02702566,-0.53866905,-0.44886965,-0.74930274,0.43431094,0.5567212
