,ENSG00000158292.8,ENSG00000100276.11,ENSG00000179761.13,ENSG00000196826.7,ENSG00000250021.7,ENSG00000127325.20,ENSG00000105976.17,ENSG00000187079.20,ENSG00000213088.15,ENSG00000203811.2,ENSG00000269955.2,ENSG00000136488.15,ENSG00000259753.1,ENSG00000129824.16,ENSG00000203852.4,ENSG00000288643.1,ENSG00000154153.15,ENSG00000165948.12,ENSG00000156239.13,ENSG00000188130.15,ENSG00000188811.14,ENSG00000197483.11,ENSG00000185829.19,ENSG00000072694.23,ENSG00000187116.15,ENSG00000133687.17,ENSG00000180537.14,ENSG00000071553.19,ENSG00000288859.2,ENSG00000270276.3,ENSG00000197238.5,ENSG00000278637.3,ENSG00000049759.21,ENSG00000151876.14,ENSG00000171067.12,ENSG00000100865.15,ENSG00000130958.14,ENSG00000124767.8,ENSG00000221978.14,ENSG00000118197.15,ENSG00000182093.16,ENSG00000138798.14,ENSG00000104067.18,ENSG00000139132.16,ENSG00000143149.14,ENSG00000117859.20,ENSG00000108587.17,ENSG00000157538.15,ENSG00000177885.16,ENSG00000073584.21,ENSG00000163681.18,ENSG00000153071.16
SRR14506843,0.7514369,-0.8852387,0.98939526,-0.9352407,0.13839336,-0.08615562,0.9588692,1.343623,0.59241855,1.1984524,-1.2991158,-0.6611048,1.3607582,1.2113944,-0.62286574,-1.8081167,0.79051673,-1.4561915,0.79366034,0.94758964,0.32110456,-0.31541443,3.1216056,0.82173324,-0.03123473,0.79174846,1.0508189,0.14593524,-0.8208014,0.8718188,-0.35156542,1.2486577,0.010847144,0.10097728,0.039407957,0.18631552,0.105460964,0.04009942,0.26354805,0.61103755,-0.6217356,-0.66341114,0.7899833,-0.250894,0.76693314,0.19218095,-0.4230248,-0.59631807,-0.07206996,0.049262624,-0.5867403,-0.8303392
SRR14506844,0.31383166,-0.76508147,0.9790203,-0.778392,0.15753728,-1.1975151,0.46679968,0.7091552,0.8253468,1.1693697,0.34519747,-0.43934226,1.1224364,0.74002314,-0.43678156,-1.0902745,-0.5206006,-1.3363912,0.3849288,0.101939835,0.7670181,0.11119211,3.2083805,0.22692233,0.8594104,-0.09798516,-0.06462915,0.26743984,-0.6336887,-0.9876783,0.20298913,0.5259032,0.4496466,0.2549888,-0.11603993,0.11986701,-0.19638406,0.11700874,-0.65464556,0.20506895,-1.943113,-1.2311436,-0.054326795,0.40271136,-0.16379195,0.72124434,-0.73886806,0.5906392,0.45793623,0.61701924,-0.76125574,-0.3911917
SRR14506845,-0.7605099,-0.27800724,0.965935,-0.21678509,1.0871125,-0.74825686,1.3549702,1.1374345,-1.0769334,-0.85561115,-0.66739976,-0.50237167,1.8724463,-0.5822548,3.210699,-1.7239017,-1.131145,-0.7231637,-0.95824885,1.0572157,-1.3860154,-1.2054313,3.1491528,-1.345651,-0.51943874,0.7337738,0.56371355,0.25216845,-1.7597606,0.17511687,1.1151612,0.98601514,0.7742232,-2.2879415,0.49660897,-1.0253263,3.2540426,1.3811092,-0.53027695,-0.82283926,0.77564114,0.25393364,-0.8974142,-0.111678645,-0.38473868,0.6596998,0.109114684,2.927644,1.1267543,3.1946723,1.3077322,-0.8842677
SRR14506849,0.97918004,0.72341335,0.4099905,-0.43848017,0.39337203,1.7660636,0.7556725,0.75892186,0.79854566,1.7994213,-1.0500389,-0.15396214,-0.6997759,-0.99184394,-0.15505163,-0.31672353,0.35303876,0.8593266,0.9884345,0.48103455,0.6689625,-1.2048085,3.1437907,0.41161245,-0.51611835,-0.2066343,1.9853312,0.055219922,-0.49313882,-2.2501671,-0.14151186,-0.24960324,0.33522275,0.22212249,-0.33916053,0.25231227,-0.8259779,0.01331898,-0.22998762,-1.9584179,-0.5694839,-0.07299048,-0.16791956,-0.66457504,-0.7846659,0.5927583,-0.49984956,0.39811817,-0.45326066,0.5717716,-0.93558884,-0.49208903
SRR14506850,-2.356796,-2.1564655,1.2140526,-2.1681247,1.6711398,-2.39009,1.4222306,-0.5676566,0.92046624,0.78234315,-2.3070543,-2.1327407,-2.1916242,-2.314463,-2.02191,-2.0962102,-0.027962007,-2.3688252,0.900656,0.57534534,-0.28042862,0.24260603,3.1989398,0.86669403,0.14068854,1.2530262,1.4840653,-1.6626283,-2.947973,-2.948533,-2.5932255,1.2168591,1.2124068,0.39931896,-0.024171919,1.128158,-0.24476628,0.06541024,-1.1286589,-0.5399734,0.85986996,0.16464965,1.763813,0.662745,0.18554886,-0.4617459,-0.22818437,0.3144914,0.006334032,0.83113384,0.3555273,-0.78639275
SRR14506851,-0.18021432,0.43942016,-0.16974594,0.61269796,-0.44631857,0.28050897,-0.75417656,0.54679155,-0.6566828,-0.38167244,-0.16839606,-0.07896628,1.4150523,1.3543359,3.2249875,-1.565875,-0.566904,0.37025833,-0.3414714,-0.69606346,1.2734025,0.16015172,0.93599105,-0.931226,-0.066660725,0.35766372,0.8174343,0.8430149,-1.1604018,1.6635303,-0.14986342,0.74095905,-0.40131125,1.9820575,-1.1972159,-1.3246424,1.5560168,-2.0702584,0.552156,0.48226988,0.27205828,1.0055932,-0.0037709458,0.3719526,-1.4177809,-1.6154703,-2.0810635,-2.4666862,-2.419057,2.310714,2.2801623,-0.5894834
SRR14506852,-0.032971125,1.6865671,-0.106256865,1.2415209,-0.9178078,0.028277516,0.5852741,0.25208798,1.161808,1.1826768,-0.55637026,1.2353792,-0.019052848,-0.37986702,1.254398,-1.3346657,0.53213483,0.98059434,1.7156821,0.4419889,0.500131,0.598257,3.152891,0.043965958,1.240392,0.47037163,0.30718905,-0.055138946,0.23679575,0.74971753,0.5231793,-0.39970097,0.8035922,-0.39061046,0.5913847,-0.72378236,-0.3939191,-0.87780654,-0.39392895,0.7198822,0.24088977,-0.74031717,0.71538705,-0.4002229,0.47120818,0.19093454,-0.28548706,-0.9075966,-0.4535457,0.34050453,-0.98067003,0.004422967
SRR14506853,0.44930583,0.82162285,-1.7631916,1.1691839,-1.8767477,2.931285,-0.26059335,-0.034993082,1.0827926,0.49957505,-1.6331828,-1.3819346,-1.4661862,0.00028818502,-1.0796608,-5.6120014,-0.08302145,-1.3381476,0.40150744,0.13316481,-0.85791993,0.8428653,3.064262,-0.5369078,0.5847775,-0.37753773,0.52995723,-0.3720735,1.2239157,2.3183866,0.50712085,1.1107209,-0.008195517,-0.11550889,0.4997892,-0.070779845,-0.41325083,-0.38113022,-1.666937,-0.75625086,0.6890773,0.10421576,-1.1326358,-1.2527802,-0.25416008,-1.01168,-1.0422558,0.21406575,-2.6791139,-1.1073107,-1.7804961,-0.47600478
SRR14506855,0.63549525,-0.20813444,-0.7866636,-0.28185552,-0.91183823,0.43103665,-0.14650549,1.0364674,0.78498346,0.7940739,-0.651471,3.029503,-0.33672434,0.92883086,0.1346041,0.011504653,-0.12842685,-0.6930123,1.3071648,1.9665941,-0.41931322,0.29886457,3.1967614,-0.44502908,-0.49325377,0.36711484,-0.38034326,1.8085308,-1.8124275,0.3969202,-1.1860583,0.89754593,1.150052,-0.90860945,0.37741503,1.1740946,0.83001167,0.53042084,-0.4914927,-0.19387302,-0.68124783,-0.94288874,1.4386002,-0.75662774,-0.04117648,-0.35913306,-0.67336327,-0.5839629,0.43337655,0.032374714,0.1973183,-0.2750723
SRR14506856,-1.7364379,-1.4122689,-1.7785015,-1.393645,-1.9439446,0.9644487,0.38309187,0.10454304,0.6605548,-1.7748404,-1.7553952,-1.3381478,1.0482256,-1.6539031,3.2395222,-4.321602,0.66944766,-1.6404957,0.6678766,-0.24539508,-0.1246579,0.19937733,3.1424942,0.41685262,0.84099674,0.9448636,-0.28767127,-0.11368945,-2.5827048,-2.6766229,-2.2428937,-0.021735713,0.30649063,-1.592695,-0.47055474,-1.4015205,-0.92690015,0.9313685,-0.8900898,0.5347084,0.9729422,-0.76850635,-0.3696001,-0.78795815,-0.69277096,-0.47566903,-0.08351628,-0.82484204,-0.8736738,-1.5773559,0.47413722,0.5930939
SRR14506857,-0.7350683,1.5974039,1.43381,1.1075002,-0.05267848,-0.61156803,0.35018212,0.30917758,0.6898455,1.0654596,-0.07953521,0.41519484,1.26513,0.8953512,0.44381443,-2.7630782,0.857829,-0.7310351,-0.3601605,0.03383363,0.22054084,2.3733058,3.1782637,0.30213416,-0.59049594,0.44258842,0.14302684,-0.45841476,-2.0471632,-2.1349642,0.74395335,0.48139286,-0.11244983,0.6572687,0.5576232,-0.6715879,-1.234784,-0.48719656,-0.616234,0.00045791885,-0.17741506,-1.94105,-0.25969532,-0.19824499,0.45634332,0.40669483,-0.94310844,1.307191,-0.9452595,-0.44596276,-0.59027606,-1.2630187
SRR14506861,0.08450514,-0.7751965,0.7575368,-0.8082948,-1.2813216,1.2845169,0.71963644,0.18489556,0.57620823,0.67902064,-1.2808623,-0.69008154,-1.1242793,-1.0508634,-0.58006895,-5.6120014,0.3963546,-0.8228447,0.36799553,-1.2755418,-0.07338315,0.25071788,3.114808,0.6505212,-0.13409074,0.39373365,0.8174959,0.47926125,0.15042782,0.6171619,0.8652144,1.140906,0.5324345,0.43149722,0.8366017,-0.2657261,0.5285604,-0.27265343,-0.09775146,-0.105558306,-0.56323236,-0.32605413,0.05204874,0.09230383,-0.50177276,-0.40302354,-0.5433593,0.006605792,-1.113521,-1.2324177,-0.69361186,-0.017443238
SRR14506862,0.5142039,0.87720704,0.69110054,-0.041215222,-0.8107056,1.1350977,-0.124812536,-0.06417565,0.087671444,0.46909094,-0.7427775,0.11035147,0.92287654,-0.38971648,0.40889975,-5.6120014,0.45461822,0.10646012,0.19480321,-0.17349175,-0.10077019,0.45675176,3.0883791,-0.08821647,0.018905655,-0.64330226,-0.36442396,0.5601634,0.5530378,0.7884532,0.3232833,0.43360433,0.23000902,0.25776017,0.75135434,-0.008025466,0.45139375,-0.3825104,-0.8441195,-0.1937876,0.021176253,-0.11993253,-0.6694461,-0.24670748,-1.9257178,-0.3811365,-0.6225676,-0.34610263,-0.8622804,-0.23063932,-0.63427544,1.5705283
SRR14506863,0.74965894,0.100067586,0.39059073,-0.009939463,0.6872024,0.17610589,0.23617908,0.093486086,0.32291907,0.7333727,-0.58080494,-0.072083294,1.0998391,1.8210357,0.60151714,-3.0467792,-0.033838682,0.22203603,0.3254604,0.7800025,-0.036034774,0.75221837,3.114854,-0.14807265,0.22046886,0.7193646,-0.093688644,0.46579778,0.5866271,1.0530747,1.0068378,0.6730611,0.18953884,-0.46201617,0.13437,-0.02191134,-0.012347029,-0.21809143,-0.42727682,0.34633523,-1.190142,0.715276,1.0604514,-0.6816136,-0.14877844,-0.22882639,-0.85955393,-0.19872679,-0.04606187,0.23719774,-0.13593325,0.93228465
SRR14506864,0.9782856,0.33083713,0.25411737,0.25594246,1.4587185,1.0044249,0.99935406,-0.3409474,1.1380683,0.609588,-0.5710241,0.66253275,-0.295388,-0.32147753,0.73158294,-5.6120014,0.4217535,0.37025896,-0.14593075,0.011204776,0.48416334,1.2024535,3.1192915,0.30028477,0.31994814,-0.008238104,-0.91186684,0.4318327,-0.07825596,0.79015404,1.177776,1.8154624,-0.006743664,0.3511636,0.7623474,0.39223462,0.38313177,-0.19589017,-0.6255409,-0.010480644,1.0387682,0.06667635,0.32306117,0.5779269,-0.16479702,0.32770336,-0.33494857,-0.53752285,-1.5667098,-1.8495877,-0.5362169,-1.3034781
