,ENSG00000158292.8,ENSG00000100276.11,ENSG00000179761.13,ENSG00000196826.7,ENSG00000250021.7,ENSG00000127325.20,ENSG00000105976.17,ENSG00000187079.20,ENSG00000213088.15,ENSG00000203811.2,ENSG00000269955.2,ENSG00000136488.15,ENSG00000259753.1,ENSG00000129824.16,ENSG00000203852.4,ENSG00000288643.1,ENSG00000154153.15,ENSG00000165948.12,ENSG00000156239.13,ENSG00000188130.15,ENSG00000188811.14,ENSG00000197483.11,ENSG00000185829.19,ENSG00000072694.23,ENSG00000187116.15,ENSG00000133687.17,ENSG00000180537.14,ENSG00000071553.19,ENSG00000288859.2,ENSG00000270276.3,ENSG00000197238.5,ENSG00000278637.3,ENSG00000049759.21,ENSG00000151876.14,ENSG00000171067.12,ENSG00000100865.15,ENSG00000130958.14,ENSG00000124767.8,ENSG00000221978.14,ENSG00000118197.15,ENSG00000182093.16,ENSG00000138798.14,ENSG00000104067.18,ENSG00000139132.16,ENSG00000143149.14,ENSG00000117859.20,ENSG00000108587.17,ENSG00000157538.15,ENSG00000177885.16,ENSG00000073584.21,ENSG00000163681.18,ENSG00000153071.16
SRR14506843,0.67393523,-0.7196881,0.9724589,-0.7320553,0.8606808,0.34557274,0.59763885,0.784598,0.53224754,0.80377626,-1.1090698,-0.68042,1.2221832,1.1136557,-0.844795,-0.7400239,0.9575811,-1.0275404,0.47377676,0.6883027,0.35605696,-0.3478393,-0.3276504,0.7268645,-0.025545042,0.2686365,0.60046804,0.3279357,-0.5688552,1.1487442,-0.3462705,0.6764026,-0.42436573,-0.094027676,0.19205278,-0.29645437,0.5194164,-0.23759638,0.5993623,0.24228434,0.056254517,-0.12671492,-0.24206452,-0.1813147,0.50649625,-0.20286265,-0.26335576,-0.40243256,-0.26978314,-0.19788797,0.04427509,-0.11053649
SRR14506844,0.5314107,-0.54781,1.0140412,-0.6477313,0.48121765,-0.75643975,0.48208705,0.8556592,0.43130344,0.87448287,0.7017414,-0.471874,1.1229352,1.0506419,-0.684907,-0.530975,-0.3710763,-1.1480112,0.15270863,0.22361322,0.57622623,-0.054991763,1.0310633,0.26599354,0.96393627,0.4573418,0.0016120574,0.34174463,-0.41224065,-0.52875924,0.40584722,0.8863769,0.06264013,0.48090515,-0.2517639,0.0061351764,0.10084747,0.30736667,-0.65057313,0.17997943,-1.0948608,-0.14179772,0.20175663,0.45261115,0.0052284435,0.2637223,-0.43771634,0.41551575,-0.28081724,0.19047059,-0.24005179,0.42854595
SRR14506845,-0.34142318,-0.062253784,1.0626622,-0.041539397,1.012451,-0.5779488,0.8286244,0.9356621,-0.13264778,-0.5882887,-0.2469993,-0.10727886,1.52623,-0.40724158,0.7773193,-0.04149903,-0.800843,-0.14812183,-0.50920004,1.1039505,-1.1689743,-0.5987533,0.20488958,-0.9292462,-0.24335837,0.28335133,0.6599111,0.59778726,-0.8730967,0.4843042,1.5682982,0.69768876,0.39151996,-1.9500722,0.024793977,-0.6005483,0.86792433,0.5105824,-0.0022633208,-0.42044315,0.27539358,-0.032348838,-0.24993719,-0.092786156,-0.17999524,0.29290295,0.20516652,1.1512985,0.38547456,1.0361127,0.2444617,-0.090947546
SRR14506849,1.1955873,1.1810334,0.5199107,-0.350439,0.80193394,1.7102016,0.8576192,0.7117547,0.5609164,1.381123,-0.65597975,-0.20212978,-0.58138597,-0.7057248,-0.4314423,-0.23572332,0.39900306,0.94838834,0.81827223,0.4694572,0.49572274,-1.0278251,-0.014366784,0.3527122,-0.5221583,0.38209015,1.6625036,-0.115867615,-0.17255816,-1.7583148,0.30824876,0.1353339,0.33025607,0.4152417,-0.05365471,0.11114129,-0.18636063,0.23269771,0.18612477,-1.3309612,0.096176915,0.6265872,0.28173274,-0.4581151,-0.26104528,0.020616818,-0.303998,0.29885736,-0.2933257,0.44574693,-0.32354772,0.40559122
SRR14506850,-2.229437,-2.0670006,1.0008444,-2.050275,1.3886994,-2.1918683,0.7777121,0.6530774,0.54720527,0.85004103,-2.0957806,-2.0542693,-2.105163,-2.1792436,-2.0961275,-2.0538466,0.63646656,-2.1285546,0.6178254,0.6573958,0.19269992,0.46655166,0.5098422,1.0623714,0.12049216,0.53609246,1.2154641,-1.1093003,-2.427696,-2.591825,-2.2500188,0.46222407,0.4587355,0.7420151,0.070040256,0.66477066,-0.13401173,0.040597666,-0.262727,0.15054601,0.7101413,0.25865793,0.5930797,0.7102694,0.015932677,-0.12847263,0.42546925,-0.015527174,0.4117734,0.6240219,0.32928908,0.10829349
SRR14506851,0.58720136,0.7076622,0.33161852,0.81186813,0.5359969,0.52092826,0.47898525,0.8233503,0.59135145,0.27756032,0.6585168,0.7252131,1.4980267,1.3937184,0.8039074,0.79749084,0.1835971,0.58662504,0.30912572,-0.054797746,0.90629655,0.5282383,-0.031202456,-0.18819799,0.6305219,1.3664111,1.4363735,0.99978286,-0.33665922,1.1313486,0.74949396,0.69376403,-0.0023988346,1.0613589,-0.9408377,-0.22426091,0.4517153,-1.2623745,0.8540636,0.5762151,0.22651027,0.79746646,0.55098295,0.18758234,-0.37048528,-0.618844,-1.2469342,-1.0480177,-0.7395245,0.56281215,0.7581095,-0.006634815
SRR14506852,-0.021012183,1.4358582,0.12969261,1.3015808,-0.03221302,0.7111448,0.69946635,0.63364804,0.6350362,0.8586053,0.38354748,1.1041195,0.10073822,-0.2621945,0.58340067,0.78453463,0.70192546,1.1474878,1.1706402,0.70968056,0.3421595,0.42792258,0.12754828,0.2183516,1.7853445,0.23520477,0.46683815,-0.072704956,1.0728955,1.4447863,0.8621678,-0.088090226,0.5262689,-0.22702533,0.6709891,-0.6337553,0.30363488,-0.5856601,0.18399858,0.6750616,0.47321787,0.4742298,0.6840124,-0.061070375,0.3183704,0.058322754,0.11601326,-0.64609814,-0.25500512,0.33585644,-0.35824582,0.52317417
SRR14506853,1.089344,1.4266539,-1.2034583,1.6030502,-1.1399927,1.1804823,0.8364412,0.9257992,0.59916973,1.4136719,-1.0976816,-1.097285,-1.1037623,1.1830792,-1.1104859,-1.0907857,0.68831635,-1.1637267,0.73677427,0.9118445,0.2212556,0.75427645,0.6328352,0.63505983,0.55505407,0.88117474,1.5157193,-0.054314908,0.9811638,1.4134266,1.0200324,0.68511415,0.89048845,0.4779428,0.63625926,0.71581924,0.66484433,0.769976,-0.12514,0.720354,0.08666947,0.83689874,0.98565316,0.48004198,0.6567288,0.6259507,0.9907968,0.65301234,0.5190413,0.7639469,0.2140512,0.47688606
SRR14506855,0.5754453,0.0024470051,-0.6083143,0.052314043,-0.22982568,0.68580896,0.21721028,0.7664546,0.49136046,0.76347864,-0.14074364,1.2578518,-0.15571193,1.1813732,-0.007875819,0.06621899,0.25739163,-0.14039221,0.9096981,1.5076479,-0.18719146,0.29798737,0.16673268,-0.1888801,-0.44381166,0.25500858,-0.17700405,1.4519676,-1.082289,0.7000841,-0.6498206,0.43010482,0.70981085,-0.64207494,0.63199747,0.66444397,0.76691407,0.34663892,0.30183995,0.04587887,-0.31705657,-0.37752628,0.43400145,-0.48339543,-0.027772332,-0.4659039,-0.1882862,-0.56800634,0.52360785,0.20002058,0.6476485,0.35384503
SRR14506856,-1.6554683,-1.3060575,-1.5817462,-1.3170035,-1.4400774,1.0809767,0.73171824,0.6825042,0.6382882,-1.6820003,-1.4057566,-1.314525,1.0076133,-1.6383463,1.0503818,-1.2965467,0.760384,-1.4017369,0.77664924,-0.0053070704,-0.31347415,0.47388306,0.3011284,0.5589204,0.71888053,0.92017657,0.1039276,-0.4775258,-2.1794987,-2.459298,-1.7048517,1.0191681,-0.027089903,-1.5757222,-0.28221524,-1.0596019,-0.35340133,0.72642016,-0.86883956,0.2089469,0.40122703,-0.040840223,-0.36649576,-0.66793424,-0.57175076,-0.121640064,-0.3338753,-0.66588694,-0.2525283,-0.8594811,0.36469814,-0.20334968
