BioProject	biomaterial_provider	Center Name	tissue	instrument	librarylayout	read_length	centrifugation_step_1	centrifugation_step_2	cdna_library_type	dnase	library_prep_kit	library_prep_kit_short_name	broad_protocol_category	plasma_volume	library_selection	rna_extraction_kit	rna_extraction_kit_short_name	plasma_tubes_short_name	UMI	Batch_Info_1	Batch_Info_2	Author	DOI
PRJEB90290		FLOMICS BIOTECH SL	Plasma	Illumina MiSeq	PAIRED	2x150	1500g	2500g	Reverse	DNase I + HL-dsDNase	SMARTer Stranded Pico v3	SMARTer Pico v3	Whole RNA-Seq (random pr.) (WRR)	1 mL	Whole-Transcriptome	Promega Maxwell miRNA Plasma and Serum Isolation kit	Promega	EDTA	Used	USA		Tuni et al.	https://doi.org/10.1101/2025.07.10.664092
PRJEB90290		FLOMICS BIOTECH SL	Plasma	Illumina NextSeq 2000	PAIRED	2x150	1500g	2500g	Reverse	DNase I + HL-dsDNase	SMARTer Stranded Pico v3	SMARTer Pico v3	Whole RNA-Seq (random pr.) (WRR)	1 mL	Whole-Transcriptome	Promega Maxwell miRNA Plasma and Serum Isolation kit	Promega	EDTA	Used	Europe, Spain		Tuni et al.	https://doi.org/10.1101/2025.07.10.664092
PRJNA1073463		MS	Plasma	Illumina NextSeq 550	PAIRED	2x150	1600g	None	Reverse	Turbo DNAse + Baseline-ZERO	SMARTer Stranded Pico v3	SMARTer Pico v3	Whole RNA-Seq (random pr.) (WRR)	0.5 mL	Whole-Transcriptome	Norgen Plasma/Serum Circulating RNA and Exosomal Purification kit 	Norgen	EDTA	Used	TBSQUARE	Uganda	Chang et al.	https://doi.org/10.1101/2023.01.11.23284435
PRJNA1073463		MS	Plasma	Illumina NextSeq 550	PAIRED	2x150	1600g	None	Reverse	Turbo DNAse + Baseline-ZERO	SMARTer Stranded Pico v3	SMARTer Pico v3	Whole RNA-Seq (random pr.) (WRR)	0.15 mL	Whole-Transcriptome	Norgen Plasma/Serum Circulating RNA and Exosomal Purification kit 	Norgen	EDTA	Used	TBSQUARE	Uganda	Chang et al.	https://doi.org/10.1101/2023.01.11.23284435
PRJNA1073463		MS	Plasma	Illumina NextSeq 550	PAIRED	2x150	1600g	None	Reverse	Turbo DNAse + Baseline-ZERO	SMARTer Stranded Pico v3	SMARTer Pico v3	Whole RNA-Seq (random pr.) (WRR)	0.2 mL	Whole-Transcriptome	Norgen Plasma/Serum Circulating RNA and Exosomal Purification kit 	Norgen	EDTA	Used	TBSQUARE	Uganda	Chang et al.	https://doi.org/10.1101/2023.01.11.23284435
PRJNA1073463		MS	Plasma	Illumina NextSeq 550	PAIRED	2x150	1600g	None	Reverse	Turbo DNAse + Baseline-ZERO	SMARTer Stranded Pico v3	SMARTer Pico v3	Whole RNA-Seq (random pr.) (WRR)	0.1 mL	Whole-Transcriptome	Norgen Plasma/Serum Circulating RNA and Exosomal Purification kit 	Norgen	EDTA	Used	TBSQUARE	Uganda	Chang et al.	https://doi.org/10.1101/2023.01.11.23284435
PRJNA1073463		MS	Plasma	Illumina NextSeq 550	PAIRED	2x150	1600g	None	Reverse	Turbo DNAse + Baseline-ZERO	SMARTer Stranded Pico v3	SMARTer Pico v3	Whole RNA-Seq (random pr.) (WRR)	0.3 mL	Whole-Transcriptome	Norgen Plasma/Serum Circulating RNA and Exosomal Purification kit 	Norgen	EDTA	Used	TBSQUARE	Uganda	Chang et al.	https://doi.org/10.1101/2023.01.11.23284435
PRJNA1073463		MS	Plasma	Illumina NextSeq 550	PAIRED	2x150	1600g	None	Reverse	Turbo DNAse + Baseline-ZERO	SMARTer Stranded Pico v3	SMARTer Pico v3	Whole RNA-Seq (random pr.) (WRR)	0.35 mL	Whole-Transcriptome	Norgen Plasma/Serum Circulating RNA and Exosomal Purification kit 	Norgen	EDTA	Used	TBSQUARE	Uganda	Chang et al.	https://doi.org/10.1101/2023.01.11.23284435
PRJNA1073463		MS	Plasma	Illumina NextSeq 550	PAIRED	2x150	1600g	None	Reverse	Turbo DNAse + Baseline-ZERO	SMARTer Stranded Pico v3	SMARTer Pico v3	Whole RNA-Seq (random pr.) (WRR)	0.25 mL	Whole-Transcriptome	Norgen Plasma/Serum Circulating RNA and Exosomal Purification kit 	Norgen	EDTA	Used	TBSQUARE	Uganda	Chang et al.	https://doi.org/10.1101/2023.01.11.23284435
PRJNA1073464		MS	Plasma	Illumina NextSeq 550	PAIRED	2x150	1600g	None	Reverse	Turbo DNAse + Baseline-ZERO	SMARTer Stranded Pico v3	SMARTer Pico v3	Whole RNA-Seq (random pr.) (WRR)	0.5 mL	Whole-Transcriptome	Norgen Plasma/Serum Circulating RNA and Exosomal Purification kit 	Norgen	EDTA	Used	R2D2	Vietnam	Chang et al.	https://doi.org/10.1101/2023.01.11.23284435
PRJNA1073464		MS	Plasma	Illumina NextSeq 550	PAIRED	2x150	1600g	None	Reverse	Turbo DNAse + Baseline-ZERO	SMARTer Stranded Pico v3	SMARTer Pico v3	Whole RNA-Seq (random pr.) (WRR)	0.6 mL	Whole-Transcriptome	Norgen Plasma/Serum Circulating RNA and Exosomal Purification kit 	Norgen	EDTA	Used	R2D2	Vietnam	Chang et al.	https://doi.org/10.1101/2023.01.11.23284435
PRJNA1073464		MS	Plasma	Illumina NextSeq 550	PAIRED	2x150	1600g	None	Reverse	Turbo DNAse + Baseline-ZERO	SMARTer Stranded Pico v3	SMARTer Pico v3	Whole RNA-Seq (random pr.) (WRR)	0.7 mL	Whole-Transcriptome	Norgen Plasma/Serum Circulating RNA and Exosomal Purification kit 	Norgen	EDTA	Used	R2D2	Vietnam	Chang et al.	https://doi.org/10.1101/2023.01.11.23284435
PRJNA1073464		MS	Plasma	Illumina NextSeq 550	PAIRED	2x150	1600g	None	Reverse	Turbo DNAse + Baseline-ZERO	SMARTer Stranded Pico v3	SMARTer Pico v3	Whole RNA-Seq (random pr.) (WRR)	0.75 mL	Whole-Transcriptome	Norgen Plasma/Serum Circulating RNA and Exosomal Purification kit 	Norgen	EDTA	Used	R2D2	Vietnam	Chang et al.	https://doi.org/10.1101/2023.01.11.23284435
PRJNA1073464		MS	Plasma	Illumina NextSeq 550	PAIRED	2x150	1600g	None	Reverse	Turbo DNAse + Baseline-ZERO	SMARTer Stranded Pico v3	SMARTer Pico v3	Whole RNA-Seq (random pr.) (WRR)	0.75 mL	Whole-Transcriptome	Norgen Plasma/Serum Circulating RNA and Exosomal Purification kit 	Norgen	EDTA	Used	R2D2	Uganda	Chang et al.	https://doi.org/10.1101/2023.01.11.23284435
