,ENSG00000000003.17,ENSG00000000005.6,ENSG00000000419.15,ENSG00000000457.15,ENSG00000000460.18,ENSG00000000938.14,ENSG00000000971.18,ENSG00000001036.15,ENSG00000001084.14,ENSG00000001167.16,ENSG00000001460.19,ENSG00000001461.20,ENSG00000001497.19,ENSG00000001561.8,ENSG00000001617.13,ENSG00000001626.19,ENSG00000001629.11,ENSG00000001630.19,ENSG00000001631.18,ENSG00000002016.19,ENSG00000002330.15,ENSG00000002549.14,ENSG00000002586.21,ENSG00000002587.11,ENSG00000002726.22,ENSG00000002745.13,ENSG00000002746.16,ENSG00000002822.17,ENSG00000002834.20,ENSG00000002919.16,ENSG00000002933.10,ENSG00000003056.9,ENSG00000003096.16,ENSG00000003137.9,ENSG00000003147.20,ENSG00000003249.16,ENSG00000003393.17,ENSG00000003400.17,ENSG00000003402.22,ENSG00000003436.17,ENSG00000003509.17,ENSG00000003756.18,ENSG00000003987.15,ENSG00000003989.19,ENSG00000004059.12,ENSG00000004139.15,ENSG00000004142.13,ENSG00000004399.14,ENSG00000004455.19,ENSG00000004468.14
SRR14506659,-0.3134582,-0.2945031,-0.31572795,-0.0021274602,0.38875988,-0.07969254,-0.12187752,-0.10098331,0.1893594,0.3226992,0.2118893,-0.26163745,-0.078564666,-0.3144995,-0.31275994,-0.30339277,0.19829112,0.14311042,-0.039359063,-0.31457287,-0.18436842,-0.21066406,-0.3119217,-0.3125282,-0.05160182,-0.30995432,0.09286376,-0.087797664,-0.061441004,-0.31547725,-0.22775106,-0.13647468,0.22976606,-0.31396374,-0.20119525,-0.17808071,0.14498807,0.10086711,-0.08903806,-0.10713127,-0.025415124,-0.106936075,-0.30636942,-0.31300986,-0.24263823,-0.31516254,-0.15931147,-0.21417196,0.024106853,-0.23974814
SRR14506660,-0.31410235,-0.25791976,0.23412158,0.24644777,1.5615795,-0.14358808,0.43224704,-0.31570035,-0.31613466,0.13059054,-0.31466702,0.73779863,-0.22652745,-0.31466812,-0.3124694,9.510946,-0.3099539,-0.21851888,-0.043608893,-0.3153707,0.48131174,-0.14954422,0.33333886,-0.30867708,-0.3083785,-0.30420837,-0.31109214,-0.18702918,0.45435485,-0.18295847,3.2999325,0.036401708,-0.311504,-0.31270683,-0.31601554,-0.3145861,-0.12092753,0.0014602428,0.10838018,0.10596483,-0.31552956,-0.10142422,-0.30627516,-0.31348857,0.16471492,0.27281764,-0.06789023,0.13386737,-0.17907669,-0.3155867
SRR14506661,-0.31005767,-0.25847656,-0.3155586,-0.31527224,-0.3119067,-0.19713874,-0.31509215,-0.3140085,0.045936666,-0.25515473,-0.31188124,-0.20852464,-0.31598654,-0.30601218,-0.30914837,-0.3045891,-0.10294399,-0.2500164,0.39105237,-0.31373182,-0.29602015,-0.0025186474,-0.22475962,-0.30345112,0.45594195,-0.2911473,-0.30807325,-0.03499205,0.019349407,0.40429276,-0.31373894,0.29733783,-0.29438585,-0.31154287,-0.31533664,-0.31335628,-0.3154537,-0.315458,-0.047393102,-0.05375137,-0.31448236,0.052360762,-0.30161732,-0.30759725,-0.08615587,-0.31443897,-0.3158334,-0.31576335,0.29460445,0.46136355
SRR14506663,1.6395158,-0.1435727,0.087059736,-0.31595847,-0.3118152,-0.19809484,-0.3158369,-0.31503347,-0.07302069,-0.2139602,-0.31506887,-0.12811711,-0.22161548,-0.31407675,-0.3100102,-0.3153801,-0.03233574,-0.3149302,-0.020698607,-0.31496552,-0.3152279,-0.2379833,0.116557986,-0.13958095,0.5936412,7.8207164,0.17850515,-0.08706066,0.3712711,0.26100892,0.5792123,-0.14349258,-0.30625176,0.08222713,-0.31513986,0.76745564,-0.31605303,-0.1380438,-0.23539276,0.19311637,0.2675875,-0.29272547,-0.31444696,0.6060978,0.15769343,-0.09421828,-0.31597486,0.41861582,-0.20277922,0.28774586
SRR14506665,-0.26119107,-0.30691352,-0.2645875,-0.23289378,-0.18726233,-0.07878352,-0.10828623,-0.00500487,-0.12708522,-0.23622626,-0.31512326,-0.17286234,0.36782622,-0.038989153,-0.072189465,-0.30856043,0.14720555,1.8508222,0.01733196,-0.3156966,-0.10971574,-0.1312849,0.2967083,-0.3141663,-0.3102114,-0.31303045,-0.30893216,-0.16771224,0.1297111,-0.15137354,-0.09159229,0.3213813,-0.31308803,-0.3136931,1.2460403,0.25608715,-0.044381022,-0.24395886,0.2925512,-0.20927384,-0.31581146,0.2102474,-0.309678,6.232775,-0.15296274,-0.31581974,-0.2714466,-0.27734762,0.14656805,-0.31583726
SRR14506666,0.60089445,-0.24304499,-0.11594558,-0.31553155,0.568535,0.050368097,2.2427413,-0.31488943,-0.08098978,-0.18220872,4.5114098,0.4568976,0.25662726,-0.31110397,-0.3105716,-0.30644745,0.15744199,1.1438706,-0.04315641,-0.3142284,0.28349227,0.016354514,-0.15811953,0.8053809,-0.30539256,-0.29782978,-0.31014684,0.15363899,-0.004625208,0.19487725,-0.31444237,-0.13155003,-0.30546007,-0.31222025,-0.3157276,0.8307823,-0.035716258,1.3730508,-0.14099714,-0.3161337,-0.31483212,-0.17515253,-0.30502275,3.6745994,0.2015211,-0.31470948,-0.31589854,1.209925,-0.31602854,-0.1830322
SRR14506667,-0.31086448,-0.2749812,-0.3157418,-0.3153981,-0.31213096,-0.09134426,0.5662509,-0.31388023,0.6256444,0.03230608,-0.31188244,-0.27748197,0.54609746,-0.30661383,-0.30973628,-0.30348772,-0.20816167,-0.31347167,1.484213,0.62657106,1.2030015,-0.31606966,-0.1875201,-0.30403513,-0.29378912,-0.29738483,6.96193,-0.31586963,0.20928644,-0.31517965,-0.31338698,-0.31565583,-0.2949512,0.117405035,-0.26684153,-0.31371182,-0.31547588,-0.31554842,0.088546544,-0.09420457,-0.3146305,0.26792958,-0.3012114,-0.307992,-0.09618979,-0.31431568,-0.31591952,0.14059067,0.0029911916,1.1332012
SRR14506668,-0.31514412,-0.29587096,-0.19295405,-0.20832999,-0.13762403,-0.24553084,-0.26741278,-0.009729238,-0.27956042,-0.1540968,-0.0016878269,-0.1379875,-0.2711504,-0.13269198,-0.3136821,-0.30283874,-0.030229142,-0.19541834,-0.09195225,-0.3151097,-0.06082742,-0.18428586,-0.035233933,-0.31399944,-0.29926172,-0.3144805,-0.30759877,-0.26631704,-0.10899043,-0.21738736,-0.3155605,-0.10856044,-0.24262737,-0.3133563,-0.122908495,-0.31565055,-0.24316221,-0.2448949,-0.13543873,-0.1408912,-0.19196771,-0.18457723,-0.30848318,-0.16207574,-0.07918962,-0.29288155,-0.2789418,-0.15082209,-0.14721501,-0.21661618
SRR14506669,-0.31519783,-0.2966419,-0.23583251,-0.23067686,-0.06909154,-0.13590722,-0.25382987,-0.14478627,-0.1969407,-0.06337447,-0.30413038,-0.17888735,-0.25098193,-0.15151371,-0.31383255,-0.014778185,-0.005785363,-0.3156513,-0.09524,0.016809046,-0.15482035,-0.23173407,0.0031095517,-0.31422743,-0.30066466,-0.31468394,-0.30821517,-0.18759218,-0.11305712,-0.22314207,-0.279632,-0.053328056,-0.08539105,-0.3136027,-0.12685177,-0.28271484,-0.085362166,-0.10789806,-0.12032617,-0.03518146,-0.2760775,-0.10656318,-0.3097122,-0.31277534,-0.15332928,-0.26079163,-0.20406866,-0.18432356,-0.15750325,-0.2456534
SRR14506670,-0.12928018,-0.29765174,-0.25628948,-0.23743539,-0.104006596,-0.21405545,-0.21512124,-0.08400364,-0.17332362,-0.087553486,-0.22698916,-0.012185626,-0.28805277,0.0032666598,-0.2700274,-0.29479754,-0.019847905,-0.055407546,-0.12402579,-0.12587148,-0.12475406,-0.21663187,0.034261476,-0.23561828,-0.30163762,-0.2117333,0.27472013,-0.2643115,-0.10098031,-0.27919072,-0.31569928,-0.10618331,0.004238438,-0.26753855,-0.13375162,-0.31563726,-0.18907374,-0.2365121,-0.14089467,-0.12636152,-0.28666088,-0.13020323,-0.31083378,-0.312904,-0.114903666,-0.30702737,-0.24924743,-0.2399402,-0.20432803,-0.3099294
