,ENSG00000000003.17,ENSG00000000005.6,ENSG00000000419.15,ENSG00000000457.15,ENSG00000000460.18,ENSG00000000938.14,ENSG00000000971.18,ENSG00000001036.15,ENSG00000001084.14,ENSG00000001167.16,ENSG00000001460.19,ENSG00000001461.20,ENSG00000001497.19,ENSG00000001561.8,ENSG00000001617.13,ENSG00000001626.19,ENSG00000001629.11,ENSG00000001630.19,ENSG00000001631.18,ENSG00000002016.19,ENSG00000002330.15,ENSG00000002549.14,ENSG00000002586.21,ENSG00000002587.11,ENSG00000002726.22,ENSG00000002745.13,ENSG00000002746.16,ENSG00000002822.17,ENSG00000002834.20,ENSG00000002919.16,ENSG00000002933.10,ENSG00000003056.9,ENSG00000003096.16,ENSG00000003137.9,ENSG00000003147.20,ENSG00000003249.16,ENSG00000003393.17,ENSG00000003400.17,ENSG00000003402.22,ENSG00000003436.17,ENSG00000003509.17,ENSG00000003756.18,ENSG00000003987.15,ENSG00000003989.19,ENSG00000004059.12,ENSG00000004139.15,ENSG00000004142.13,ENSG00000004399.14,ENSG00000004455.19,ENSG00000004468.14
SRR14506659,-0.993763,-0.7697698,-1.0257821,0.42482284,5.38594,-0.79282063,-0.16886838,0.8606917,5.5519905,0.7428349,1.395917,-0.38526583,-1.6817049,-0.89632565,-0.9010497,-0.8196115,24.670883,0.34830895,22.387026,-0.9062517,0.7677676,47.96101,-1.451609,-0.9822636,-0.77160054,-0.8356987,0.45246974,13.91943,109.30331,-1.2111816,-0.7834056,11.4334345,-0.009394748,-1.002081,-0.5302807,0.15167706,4.9701753,0.005106208,46.25031,1.3823272,0.53480345,28.98797,-0.72792333,-0.969442,-0.8871548,-0.9280244,-0.8555684,9.9404745,37.9065,-0.7055736
SRR14506660,-0.9225624,-0.7731448,18.619587,0.56338304,27.310295,-1.2667472,-0.2646351,-0.9988764,-1.858318,-0.42963412,-0.8225451,8.186416,-1.842756,-0.8952422,-0.92584306,22.169987,-1.3580343,-0.74370486,29.269697,-0.93038446,21.287645,63.272366,8.168207,-0.8905912,-0.85639995,-0.87542635,-0.8847822,8.06744,308.21997,-0.7766242,131.67749,34.20742,-0.8499108,-0.99924576,-1.6952658,-0.9194916,-0.398521,-0.34204024,100.86009,4.140444,-0.93000895,22.580809,-0.792364,-0.9787107,2.9688337,6.6319757,-0.7441274,30.19139,13.37676,-0.9343747
SRR14506661,-0.91126084,-0.8931366,-0.9278829,-0.95924187,-0.5757893,-0.7750472,-0.8296543,-0.97745496,22.928736,-1.6554631,-0.85711193,5.598786,-1.9034799,-0.6641593,-0.92294484,-0.86839396,14.345841,0.20729241,42.049934,-0.65574706,-0.37353098,87.97533,-0.7534981,-0.9758383,-0.5756598,-0.8717387,-0.82881284,8.071435,16.820238,16.235174,-0.7134842,22.388391,-0.90120214,-0.9958637,-1.3059814,-0.9305617,-1.2893533,-1.1760616,7.5251327,5.619632,-0.9479374,5.166495,-0.8577954,-1.0268372,6.3574185,-0.72705984,-1.5404643,-0.95506823,56.756817,15.764816
SRR14506663,9.71275,-0.8539019,9.390474,-1.2156918,-0.90507734,12.332247,-0.8843781,-1.0080382,3.9976678,8.098477,-0.83086485,7.7948184,2.842138,-0.87293184,-1.0288469,-0.9002651,6.9379153,-0.8426984,18.158903,-0.8353133,-1.5945727,2.7366707,15.057142,-0.6230625,1.3909887,1.9686888,6.613128,19.730946,35.921097,9.337754,17.145807,7.2494674,-0.94371724,0.73343754,-1.5049498,4.7812853,-1.4220903,8.15283,25.082106,13.890399,15.038126,7.438984,-0.85947233,1.87199,4.3315177,2.8037622,-1.5025277,57.47808,8.96926,7.1598854
SRR14506665,-0.618362,-0.9126141,1.9129587,-0.7845201,-0.24528606,-1.313444,-0.5080725,0.49107215,1.2913818,-1.7053176,-0.8891188,0.34224844,-1.1914355,0.35017544,0.15557915,-0.59286296,49.61765,5.191373,60.049988,-0.9189955,1.28871,208.62943,11.190061,-0.97291476,-0.84528494,-0.9030513,-0.61227655,21.12059,270.13327,0.57088846,3.5325785,52.308968,-0.8951403,-0.9722815,11.317117,2.9679782,4.192916,-1.3943777,96.40545,-0.12272348,-0.94836015,94.66224,-0.7658908,16.72417,0.19076549,-0.97373873,-1.4951705,3.9857266,160.92163,-0.94443727
SRR14506666,0.8306196,-0.6851103,2.6717396,-1.1902473,6.5736732,-0.36804944,6.9886246,-0.9917914,2.721333,-1.4626291,31.051422,11.399406,-0.17639644,-0.7819691,-0.93514,-0.8879986,22.047401,12.49938,14.986287,-0.56083196,10.63634,50.734444,-0.44809878,-0.17903133,-0.827716,-0.8893075,-0.79544526,14.654398,19.519833,3.4273763,-0.82198167,3.0846455,-0.75600195,-0.9966719,-1.5196205,5.3373423,0.4508254,13.656389,6.294022,-1.93552,-0.94769543,0.8604541,-0.776508,3.7358294,7.2008705,-0.704513,-1.72609,68.872025,-1.5954498,0.72707653
SRR14506667,-0.92345494,-0.81028265,-0.94529974,-0.8820146,-0.43192136,-0.718902,13.317876,-0.7964548,86.67937,-0.5466779,-0.7722898,1.980198,2.1856048,-0.6455579,-0.8982715,-0.8264833,9.404064,-0.65422654,202.97455,28.854969,43.769527,-0.5880853,-0.47193834,-0.86119145,-0.84536105,-0.832823,14.633725,-1.4532235,37.83187,-0.7221438,-0.6296826,-1.0430392,-0.7625353,-0.17309347,-0.46035787,-0.84976554,-1.1582568,-1.1726855,13.338425,4.003002,-0.9431156,12.889707,-0.7969553,-0.97567624,6.522583,-0.7288832,-1.4321626,50.896965,40.396564,34.529415
SRR14506668,-0.9683947,-0.5902069,8.772939,0.40159297,0.28514108,-1.3802272,-0.50660896,0.97636956,-1.0930327,-0.7317219,1.2775668,0.8835486,-1.6146317,-0.1672036,-0.8120822,-0.7223055,4.0251784,-0.0688056,36.001556,-0.9268428,4.688098,41.01418,1.0800517,-0.83478665,-0.7177474,-0.82345134,-0.6447596,4.5319147,68.0747,0.76197684,-0.89758456,10.088581,-0.80337536,-0.90938467,0.434185,-0.92349637,-0.6405266,-1.1529038,30.730448,1.9784924,-0.09805332,10.006227,-0.5706237,-0.20962031,0.5243989,-0.71577746,-1.2109872,14.601495,15.182221,-0.16910106
SRR14506669,-0.9714998,-0.6694121,4.264631,0.015487192,0.9827125,-0.5856311,-0.37196743,0.13934535,0.026397087,0.15715882,-0.8294641,0.38714904,-1.3856827,-0.1408947,-0.9123914,0.292894,3.75303,-0.90033406,27.23152,1.0883279,1.9179995,19.185974,1.0809244,-0.842041,-0.8137357,-0.8458094,-0.65260184,10.387616,45.10756,0.69545287,-0.70387703,11.534778,-0.26548553,-0.98157716,0.48108602,-0.57244295,1.1016718,0.095362656,21.483816,4.680657,-0.65684366,12.304626,-0.67157733,-0.87603986,-0.17469956,-0.50375015,-0.22765844,7.4071255,8.4532795,-0.22245355
SRR14506670,0.1560092,-0.8424711,3.6273327,0.22327143,1.6677113,-1.0322448,0.21500897,1.0598949,0.5393075,0.92914003,-0.22150421,3.626811,-1.4723774,0.9410385,-0.75421494,-0.87692857,4.3163342,0.99094856,19.555176,0.23408219,1.8254377,19.277302,1.9189016,-0.42250228,-0.89349735,-0.3272939,-0.1675984,2.4827523,40.040035,-0.18703751,-0.9025519,9.104603,0.004133923,-0.7727938,1.2293664,-0.9377991,0.26353964,-0.83726084,13.605051,3.922092,-0.67633504,10.785626,-0.87381476,-0.9608917,1.360003,-0.8816103,-0.45158,3.221018,3.2367003,-0.81076914
