,ENSG00000000003.17,ENSG00000000005.6,ENSG00000000419.15,ENSG00000000457.15,ENSG00000000460.18,ENSG00000000938.14,ENSG00000000971.18,ENSG00000001036.15,ENSG00000001084.14,ENSG00000001167.16,ENSG00000001460.19,ENSG00000001461.20,ENSG00000001497.19,ENSG00000001561.8,ENSG00000001617.13,ENSG00000001626.19,ENSG00000001629.11,ENSG00000001630.19,ENSG00000001631.18,ENSG00000002016.19,ENSG00000002330.15,ENSG00000002549.14,ENSG00000002586.21,ENSG00000002587.11,ENSG00000002726.22,ENSG00000002745.13,ENSG00000002746.16,ENSG00000002822.17,ENSG00000002834.20,ENSG00000002919.16,ENSG00000002933.10,ENSG00000003056.9,ENSG00000003096.16,ENSG00000003137.9,ENSG00000003147.20,ENSG00000003249.16,ENSG00000003393.17,ENSG00000003400.17,ENSG00000003402.22,ENSG00000003436.17,ENSG00000003509.17,ENSG00000003756.18,ENSG00000003987.15,ENSG00000003989.19,ENSG00000004059.12,ENSG00000004139.15,ENSG00000004142.13,ENSG00000004399.14,ENSG00000004455.19,ENSG00000004468.14
SRR14506659,-0.5425264,-0.28867686,-0.726189,-0.16953854,2.053652,-0.18195982,-0.08722297,0.2872779,-0.09691796,0.12895164,1.6248353,-0.58551,-0.40129566,-0.7641235,-0.5288283,-0.3106109,-0.07219596,0.65472597,-0.41285035,-0.7005539,-0.46892744,-0.4561988,-0.52539074,-0.5414564,0.30262735,-0.4440315,0.37624502,-0.37079623,-0.35358697,-0.7664168,-0.25895795,-0.38791382,2.861265,-0.47726682,-0.48596773,-0.076492734,0.05575853,0.015560001,-0.42381504,-0.38868818,0.39586774,-0.4170666,-0.26152205,-0.4331247,-0.47067273,-0.76287174,-0.460495,-0.42413667,-0.2847851,-0.5680543
SRR14506660,-0.53027976,-0.27485368,1.1140333,0.4605705,10.947089,0.31075037,0.8232389,-0.7911819,-0.62214947,1.0700854,-0.7632953,3.292949,-0.4063929,-0.7904834,-0.52610826,45.524445,-0.56985074,-0.5682138,0.38223833,-0.7190288,3.0425327,0.025859434,2.551058,-0.39593333,-0.25769153,-0.4383566,-0.39548528,-0.3427743,3.286157,-0.40155646,21.24877,1.819383,-0.5029862,-0.46189967,-0.68921286,-0.5901753,-0.21864437,0.2727942,1.2207562,1.3015825,-0.8209732,0.19943032,-0.27799585,-0.43182486,1.1179507,2.1697962,-0.1590509,1.048015,-0.12874267,-0.7895589
SRR14506661,-0.5355486,-0.24624479,-0.713053,-0.80022943,-0.6319613,0.37445465,-0.7296452,-0.77402943,1.340489,-0.44385397,-0.730907,-0.12109438,-0.6223432,-0.64676565,-0.48904625,-0.31466123,0.33290505,-0.49869975,2.0388966,-0.64089745,-0.6100552,1.3848296,-0.050659355,-0.45001152,0.507356,-0.38645667,-0.3824818,0.5649123,1.4320271,4.0102935,-0.558811,1.6668895,-0.53478044,-0.45050576,-0.67668056,-0.54282135,-0.7212782,-0.6777275,0.9029665,0.5217333,-0.8205894,0.7239856,-0.2788463,-0.4269574,0.32212874,-0.7080766,-0.6957631,-0.62080526,2.3991928,5.9181805
SRR14506663,8.850039,-0.2736131,4.0416427,-0.81336963,-0.70748997,11.995327,-0.73746824,-0.7772887,3.0801933,4.584516,-0.74322057,2.4376402,3.3275533,-0.750278,-0.54237956,-0.3041012,3.3031144,-0.7200721,9.356803,-0.6802352,-0.7133243,2.6175492,14.125306,-0.0640547,3.3785655,8.822001,23.989464,7.697731,35.941048,3.2938483,12.874913,5.682742,-0.5734187,1.1505934,-0.6686436,4.478892,-0.7195484,2.8311799,13.865129,8.458521,8.293194,4.6608343,-0.2970446,2.0701308,3.8311687,1.7742683,-0.68102366,19.42351,5.205729,6.467615
SRR14506665,-0.25814188,-0.30750299,-0.6091349,-0.65030646,-0.4393682,-0.090845816,-0.31280288,-0.081636116,-0.3050778,-0.506901,-0.78001964,-0.4610938,0.46697563,-0.31994346,1.4128795,-0.32470897,0.06291653,4.1535177,-0.11579096,-0.72681016,-0.40744153,-0.21878457,0.5464211,-0.54189867,-0.2645223,-0.47879702,-0.3840708,-0.4582027,0.087097645,-0.3403279,0.0064969305,0.32710603,-0.5899436,-0.4818036,1.5066584,0.6143408,0.09977346,-0.54281455,0.03187016,-0.25880143,-0.8289562,0.21237963,-0.30838695,4.388137,-0.33958554,-0.78266346,-0.62389964,-0.56611735,0.22665869,-0.79472744
SRR14506666,1.540838,-0.17608339,-0.058210574,-0.82400024,4.183107,0.53346556,5.665913,-0.7846838,0.00073521724,-0.34628782,20.236425,1.4788266,0.49119842,-0.71926296,-0.52162874,-0.35444364,0.9198527,2.0135982,0.0017454466,-0.69549924,1.8315724,0.50030833,0.04673398,5.552824,-0.26009429,-0.3344143,-0.40784323,0.5406617,0.21155772,1.4384401,-0.56912637,-0.005509624,-0.5320124,-0.4612682,-0.68533087,6.583617,0.054930698,4.6850095,-0.15428634,-0.5382792,-0.8224296,-0.2984283,-0.27787414,6.437215,0.8511682,-0.71282554,-0.7008164,6.1631417,-0.61654,-0.019409703
SRR14506667,-0.5315643,-0.24912666,-0.71770746,-0.798797,-0.5908132,0.6225388,4.3241944,-0.75622207,4.789006,0.39661327,-0.70737475,-0.51431775,2.3964245,-0.64970785,-0.4522767,-0.30239457,-0.13714527,-0.7014799,7.0282283,6.9108953,5.481412,-0.5998923,-0.12788045,-0.47989777,-0.25142625,-0.40868723,20.26406,-0.63386434,1.8667948,-0.72662556,-0.5521048,-0.6240475,-0.49788398,0.92856675,-0.49375242,-0.5311018,-0.71876377,-0.6811112,0.9486828,0.13939494,-0.8208224,0.7750791,-0.28889906,-0.4161144,0.1117042,-0.7162185,-0.69816875,2.1973407,0.6580559,12.802676
SRR14506668,-0.5577018,-0.29435322,0.030869983,-0.14388554,0.08099462,-0.1341722,-0.4856662,0.34750742,-0.4300517,0.13196035,0.886947,0.08109721,-0.3046685,-0.20103434,-0.5326879,-0.3265267,0.6689146,-0.2028234,1.2174991,-0.7183016,0.311233,0.13488166,3.7882483,-0.5296369,-0.2595133,-0.46924487,-0.4188675,-0.36408606,1.2538618,-0.18405093,-0.60760534,0.43181884,-0.39913473,-0.46244085,0.21736105,-0.591875,-0.47015712,-0.3597205,1.1035279,3.5667539,-0.22583163,0.38894048,-0.27519077,0.23938386,0.37948784,-0.63040465,-0.4958041,0.18907268,-0.02479021,-0.29405245
SRR14506669,-0.556982,-0.29131874,-0.12850916,-0.21335247,0.8864141,0.6686632,-0.38483658,-0.03418838,0.06220361,0.7677428,-0.7127376,0.11288691,-0.11700163,-0.09889879,-0.54125684,0.41070628,1.3657469,-0.75186116,1.8666232,0.33470118,0.08060308,-0.01569231,7.0628767,-0.5279946,-0.26082638,-0.46684647,-0.41967067,0.17714375,2.2307625,-0.13667336,-0.4223937,1.2330073,0.16544434,-0.46851757,0.54689205,-0.34704798,0.2600847,0.419911,2.076207,10.593835,-0.6037188,1.3284183,-0.2803605,-0.4197761,0.42584616,-0.46184993,0.009599647,0.09168023,0.0087468745,-0.3682179
SRR14506670,0.28466642,-0.28547642,0.0024320201,-0.08893641,1.5259017,0.38319337,-0.09358928,0.68652654,0.6062976,0.8970793,-0.2426758,2.137368,-0.3686741,1.1420199,-0.36864468,-0.30088913,2.035361,0.5201115,1.9278964,-0.18341409,0.6049179,0.32701898,11.719843,-0.18990567,-0.26161456,0.17060861,0.70380896,-0.23760243,4.9984765,-0.42361635,-0.60718864,1.5880048,0.66683054,-0.31157684,1.0841733,-0.5896089,0.097141735,-0.08698339,2.7669044,11.524066,-0.63788694,1.2249146,-0.27775854,-0.42493087,1.9562824,-0.7218137,-0.12022849,-0.0305142,-0.090600505,-0.7288265
