Sample,Mix_Type,Linearity_R2,ERCC_GC_Bias_Score,ERCC_Length_Bias_Score,gc_bias_score,len_bias_score
SRR10192259,Mix 1,0.661766,0.034807,0.114971,0.170984113,0.292739685
SRR10192258,Mix 1,0.71912,0.303188,0.498383,0.138100571,0.340412895
SRR10192262,Mix 1,0.625666,0.376022,0.10136,0.129919094,0.286318741
SRR10192261,Mix 1,0.467944,0.22337,0.295272,0.124356355,0.359487721
SRR10192260,Mix 1,0.408022,0.329394,0.142062,0.059091022,0.4559527
SRR10192265,Mix 1,0.503983,0.168247,0.317737,0.164592716,0.295683332
SRR10192263,Mix 1,0.6115,0.319551,0.354026,0.134891945,0.302720761
SRR10192268,Mix 1,0.513088,0.091373,0.362174,0.17595264,0.301252251
SRR10192272,Mix 1,0.724948,0.116,0.35457,0.029463214,0.314819618
SRR10192269,Mix 1,0.905755,0.170594,0.168179,0.09184815,0.303651597
SRR10192270,Mix 1,0.79165,0.396994,0.175329,0.09600585,0.272492688
SRR10192267,Mix 1,0.52846,0.37044,0.054891,0.074574643,0.300366325
SRR10192271,Mix 1,0.763433,0.46114,0.465925,0.08756064,0.276455098
SRR10192276,Mix 1,0.711921,0.121426,0.100232,0.046468562,0.306265933
SRR10192264,Mix 1,0.64741,0.211071,0.198772,0.157294706,0.283325439
SRR10192266,Mix 1,0.700072,0.153637,0.39118,0.09275999,0.358520025
SRR10192273,Mix 1,0.62198,0.162213,0.065161,0.175651417,0.294813479
SRR10192278,Mix 1,0.884709,0.21199,0.606428,0.008227918,0.355533807
SRR10192277,Mix 1,0.711072,0.472362,0.107073,0.09189255,0.281573352
SRR10192274,Mix 1,0.893085,0.072606,0.469502,0.159144522,0.352404915
SRR10192275,Mix 1,0.706706,0.205977,0.180394,0.072365618,0.261833628
